running ...running ...running ...running ...running ...running ...running ...running ...running ...running ...running ...running ...running ...{"total":"3759 MB","free":"262 MB","usage":"6%"} 
{"total":"3759 MB","free":"232 MB","usage":"6%"} 
{"total":"3759 MB","free":"238 MB","usage":"6%"} 
{"total":"3759 MB","free":"246 MB","usage":"6%"} 
{"total":"3759 MB","free":"259 MB","usage":"6%"} 
{"total":"3759 MB","free":"252 MB","usage":"6%"} 
{"total":"3759 MB","free":"261 MB","usage":"6%"} 
{"total":"3759 MB","free":"261 MB","usage":"6%"} 
{"total":"3759 MB","free":"270 MB","usage":"7%"} 
{"total":"3759 MB","free":"274 MB","usage":"7%"} 
{"total":"3759 MB","free":"259 MB","usage":"6%"} 
{"total":"3759 MB","free":"265 MB","usage":"7%"} 
{"total":"3759 MB","free":"269 MB","usage":"7%"} 
{"total":"3759 MB","free":"267 MB","usage":"7%"} 
{"total":"3759 MB","free":"260 MB","usage":"6%"} 
{"total":"3759 MB","free":"265 MB","usage":"7%"} 
{"total":"3759 MB","free":"274 MB","usage":"7%"} 
{"total":"3759 MB","free":"276 MB","usage":"7%"} 
{"total":"3759 MB","free":"262 MB","usage":"6%"} 
{"total":"3759 MB","free":"258 MB","usage":"6%"} 
{"total":"3759 MB","free":"264 MB","usage":"7%"} 
